instnm,Institution (entity) name (HD2018),Institution name alias (HD2018),Address,City location of institution (HD2018),State abbreviation (HD2018),ZIP code (HD2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for out-of-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for in-state students living off campus (with family)  2018-19 (DRVIC2018),Number of students receiving a Doctor's degree (DRVC2018),Number of students receiving a Master's degree (DRVC2018),Number of students receiving a Bachelor's degree (DRVC2018),Number of students receiving an Associate's degree (DRVC2018),Graduation rate,Percent of full-time first-time undergraduates awarded any financial aid (SFA1718),Average amount of aid awarded,Applicants total (ADM2018),Admissions total (ADM2018),Enrolled total (ADM2018)
Abilene Christian University,Abilene Christian University, , ,Abilene,TX,79699,49722,49722,49722,39372,7,297,703,5,67,100,20473,11569,6590,924
Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,ABAC,2802 Moore Hwy,Tifton,GA,31793-2601,15345,13803,20541,7603,0,0,273,524,22,87,5262,2389,1647,1017
Academy of Interactive Entertainment,Academy of Interactive Entertainment,AIE,305 Harrison St Ste 405,Seattle,WA,98109-4623,,34698,34698,27165,,,,0,80,85,3534,85,75,51
Academy of Interactive Entertainment,Academy of Interactive Entertainment, ,537 Cajundome Boulevard #211,Lafayette,LA,70506-4293,,34113,34113,26769,,,,0,56,93,7306,126,63,36
Adams State University,Adams State University, ,208 Edgemont Blvd,Alamosa,CO,81101,22708,25811,36827,14264,8,422,315,373,27,95,8846,1698,1675,460
Adelphi University,Adelphi University, ,South Ave,Garden City,NY,11530-0701,58430,58430,58430,45840,36,981,1230,25,70,91,20705,13006,9648,1245
Adrian College,Adrian College, ,110 S Madison St,Adrian,MI,49221-2575,53481,53481,53481,42163,0,25,303,8,45,100,24948,5132,3326,635
Adult and Community Education-Hudson,Adult and Community Education-Hudson, ,2323 Lexington Avenue,Columbus,OH,43211,,,,,,,,0,74,100,4881,32,30,30
Advanced Technology Institute,Advanced Technology Institute,ATI,5700 Southern Blvd Ste 100,Virginia Beach,VA,23462,,25656,25656,16986,,,,32,75,76,5583,448,350,226
AdventHealth University,AdventHealth University,Florida Hospital College,671 Winyah Drive,Orlando,FL,32803,25304,30448,30448,19178,0,93,316,81,30,96,7109,267,232,94
Advertising Art Educational Services DBA School of Advertising Art,Advertising Art Educational Services DBA School of Advertising Art, ,1725 E David Rd,Kettering,OH,45440,,37433,37433,32043,,,,52,67,94,6575,302,276,83
Agnes Scott College,Agnes Scott College, ,141 E. College Ave.,Decatur,GA,30030-3770,55625,45795,45795,43295,0,0,189,0,69,100,31058,1625,1144,324
Alabama A & M University,Alabama A & M University,AAMU,4900 Meridian Street,Normal,AL,35762,23462,23462,32072,14334,8,332,507,0,27,91,10464,9638,8661,1529
Alabama State University,Alabama State University, ,915 S Jackson Street,Montgomery,AL,36104-0271,22110,24216,32544,16896,32,144,650,0,30,93,9011,7783,7607,1038
Alaska Pacific University,Alaska Pacific University, ,4101 University Dr,Anchorage,AK,99508,34600,42570,42570,26370,4,67,40,2,56,100,15652,419,353,50
Albany College of Pharmacy and Health Sciences,Albany College of Pharmacy and Health Sciences, ,106 New Scotland Avenue,Albany,NY,12208-3492,49585,51585,51585,40365,225,21,49,0,66,100,17481,1985,1427,191
Albany State University,Albany State University, ,504 College Drive,Albany,GA,31705,19133,21975,32436,11175,0,138,475,645,19,94,6730,4093,3704,1605
Albertus Magnus College,Albertus Magnus College, ,700 Prospect St,New Haven,CT,06511-1189,53124,53894,53894,40276,0,170,300,57,72,99,22174,1388,806,163
Albion College,Albion College, ,611 E Porter St,Albion,MI,49224,59470,59470,59470,47590,0,0,280,0,64,100,39041,4226,2884,428
Albright College,Albright College, ,1621 N. 13th St.,Reading,PA,19612-5234,60636,61036,61036,48966,0,7,491,0,51,98,33694,6755,4188,575
Alcorn State University,Alcorn State University, ,1000 ASU Dr Ste 359,Alcorn State,MS,39096-7500,24032,25856,25856,15484,0,151,450,16,40,86,13786,4314,3853,615
Alderson Broaddus University,Alderson Broaddus University,Alderson-Broaddus College,101 College Hill Drive,Philippi,WV,26416-2035,40952,43997,43997,32642,0,36,160,1,35,99,19034,3988,1696,256
Alfred University,Alfred University, ,One Saxon Drive,Alfred,NY,14802-1205,45104,45104,45104,35838,7,248,395,0,60,100,22431,4296,2693,437
Alice Lloyd College,Alice Lloyd College, ,100 Purpose Rd,Pippa Passes,KY,41844,24290,21800,21800,17950,0,0,86,0,70,100,9451,4720,1311,245
Allegheny College,Allegheny College, ,520 N Main St,Meadville,PA,16335-3902,63180,60680,60680,51040,0,0,388,0,74,100,34949,5479,3485,474
Alma College,Alma College, ,614 W Superior,Alma,MI,48801-1599,54270,54270,54270,43272,0,0,293,0,64,100,29410,4765,3055,404
Alvernia University,Alvernia University, ,400 Saint Bernardine St,Reading,PA,19607-1799,51240,45100,45100,38900,30,177,370,17,57,100,19687,2628,1797,435
Alverno College,Alverno College, ,3400 S 43rd  St,Milwaukee,WI,53234-3922,40693,40947,40947,33047,0,170,298,5,41,100,19017,728,508,187
